idx,raw_id,original_sentence,standard_negation,sn_절1,sn_절2,sn_절3,local_negation_type,local_negation,local_부정요소,ln_절1,ln_절2,contradiction,paraphrase,note
3889,346353,《사랑비》는 1970년대와 현대의 사랑 방식을 통해 시대를 초월한 사랑의 본질을 그린 2012년 KBS 월화 드라마이다.,《사랑비》는 1970년대와 현대의 사랑 방식을 통해 시대를 초월한 사랑의 본질을 그린 2012년 KBS 월화 드라마가 아니다.,아니다,,,관형절,《사랑비》는 1970년대와 현대의 사랑 방식을 통해 시대를 초월한 사랑의 본질을 그리지 않은 2012년 KBS 월화 드라마이다.,본질을 그린,안 장형,,《사랑비》는 1970년대와 현대의 사랑 방식을 배제하고 동시대의 우정을 통해 시대의 단절을 그린 2014년 SBS 수목 드라마이다.,2012년 KBS 월화 드라마 《사랑비》는 1970년대와 현재의 사랑을 통해 변하지 않는 사랑의 본질을 담아냈다.,
3890,241455,"데이비드 윌슨은 캐나다의 안무가이자 전 피겨 스케이팅 선수이며, 다양한 피겨 스케이팅 선수들을 지도하였다.","데이비드 윌슨은 캐나다의 안무가 혹은 전 피겨 스케이팅 선수가 아니거나, 다양한 피겨 스케이팅 선수들을 지도하지 않았다.",안 장형,,,대등절 일부,"데이비드 윌슨은 캐나다의 안무가이자 전 피겨 스케이팅 선수이며, 다양한 피겨 스케이팅 선수들을 지도하지 않았다.",지도하였다,안 장형,,"데이비드 윌슨은 프랑스의 안무가이자 현역 피겨 스케이팅 선수이며, 다양한 피겨 스케이팅 선수들에게 지도를 받았다.","데이비드 윌슨은 피겨 스케이팅 선수 출신으로, 캐나다에서 안무가로 활동하며 여러 피겨 선수들을 가르쳤다.",
3891,779442,바리스타 룰스는 2020년 상반기 액상 커피 시장에서 점유율 3위를 차지할 만큼 매일유업의 인기 커피 음료이다.,바리스타 룰스는 2020년 상반기 액상 커피 시장에서 점유율 3위를 차지할 만큼 매일유업의 인기 커피 음료가 아니다.,아니다,,,관형절,바리스타 룰스는 2020년 상반기 액상 커피 시장에서 점유율 3위를 차지하지 못할 만큼 매일유업의 인기 커피 음료이다.,3위를 차지할,못 장형,,바리스타 룰스는 2020년 상반기 액상 커피 시장에서 점유율 1위를 차지할 만큼 매일유업의 비인기 커피 음료이다.,매일유업에서 판매하는 바리스타 룰스는 2020년 상반기 액상 커피 시장 점유율 3위를 기록한 인기 있는 커피 음료이다.,
3892,268169,"가정용 플레이스테이션 2 버전의 Beatmania IIDX 14: Gold는 총 96곡을 수록하여 2008년 5월 29일에 발매되었으며, 단위인정 모드에서 기존 ANOTHER 난이도보다 어려운 새로운 채보를 경험할 수 있다.","가정용 플레이스테이션 2 버전의 Beatmania IIDX 14: Gold는 총 96곡을 수록하여 2008년 5월 29일에 발매되지 않았거나, 단위인정 모드에서 기존 ANOTHER 난이도보다 어려운 새로운 채보를 경험할 수 없다.",안 장형,어휘적,,관형절,"가정용 플레이스테이션 2 버전의 Beatmania IIDX 14: Gold는 총 96곡을 수록하여 2008년 5월 29일에 발매되었으며, 단위인정 모드에서 기존 ANOTHER 난이도보다 어렵지 않은 새로운 채보를 경험할 수 있다.",어려운,안 장형,,"가정용 플레이스테이션 2 버전의 Beatmania IIDX 14: Gold는 총 150곡을 수록하여 2008년 5월 29일에 발매되었으며, 단위인정 모드에서 기존 ANOTHER 난이도보다 쉬운 새로운 채보를 경험할 수 있다.","Beatmania IIDX 14: Gold의 플레이스테이션 2용 버전은 2008년 5월 29일에 출시되었고, 96개의 곡이 포함되어 있다. 또한, 단위인정 모드에서는 ANOTHER 난이도보다 더 높은 난이도의 신규 채보를 플레이할 수 있다.",
3893,697493,모리스 비로드는 프랑스 파리에서 태어나 라디오 DJ와 영화배우로 활동하였으며 1982년 파리에서 사망하였다.,모리스 비로드는 프랑스 파리에서 태어나 라디오 DJ 혹은 영화배우로 활동하지 않았거나 1982년 파리에서 사망하지 않았다.,안 장형,안 장형,,부사절,모리스 비로드는 프랑스 파리에서 태어나지 않아 라디오 DJ와 영화배우로 활동하였으며 1982년 파리에서 사망하였다.,태어나,안 장형,,모리스 비로드는 프랑스 리옹에서 태어나 소설가와 무용가로 활동하였으며 1975년 마르세유에서 사망하였다.,"모리스 비로드는 파리 출신으로, 라디오 DJ와 영화배우로 일했고 1982년에 파리에서 세상을 떠났다.",
3894,720871,"《Maiden Japan》은 영국 헤비 메탈 밴드 아이언 메이든의 라이브 EP로 일본에서 《Heavy Metal Army》라는 제목으로 발매되었으며, 《Maiden Japan》앨범의 제목은 딥 퍼플의 라이브 음반 《Made in Japan》의 제목을 응용한 말장난이다.","《Maiden Japan》은 영국 헤비 메탈 밴드 아이언 메이든의 라이브 EP로 일본에서 《Heavy Metal Army》라는 제목으로 발매되지 않았거나, 《Maiden Japan》앨범의 제목은 딥 퍼플의 라이브 음반 《Made in Japan》의 제목을 응용한 말장난이 아니다.",안 장형,아니다,,관형절,"《Maiden Japan》은 영국 헤비 메탈 밴드 아이언 메이든의 라이브 EP로 일본에서 《Heavy Metal Army》라는 제목으로 발매되었으며, 《Maiden Japan》앨범의 제목은 딥 퍼플의 라이브 음반 《Made in Japan》의 제목을 응용하지 않은 말장난이다.",응용한,안 장형,,"《Maiden Japan》은 영국 헤비 메탈 밴드 아이언 메이든의 스튜디오 EP로 독일에서 《Maiden Europe》이라는 제목으로 발매되었으며, 《Maiden Japan》앨범의 제목은 딥 퍼플의 라이브 음반 《Made in Japan》과 무관한 밴드 내부 농담에서 비롯된 말장난이다.","《Maiden Japan》은 아이언 메이든이 일본에서 《Heavy Metal Army》라는 이름으로 발매한 라이브 EP이며, 앨범명은 딥 퍼플의 라이브 앨범 《Made in Japan》에서 착안해 말장난으로 지어진 것이다.",
3895,581605,차산농악의 상쇠는 농악대를 이끄는 뛰어난 리더십을 인정하여 경상북도 무형문화재 보유자로 인정한다.,차산농악의 상쇠는 농악대를 이끄는 뛰어난 리더십을 인정하여 경상북도 무형문화재 보유자로 인정하지 않는다.,안 장형,,,부사절,차산농악의 상쇠는 농악대를 이끄는 뛰어난 리더십을 인정하지 않아 경상북도 무형문화재 보유자로 인정한다.,인정하여,안 장형,,차산농악의 상쇠는 농악대를 흐트러뜨리는 미숙한 리더십을 인정하여 경상북도 무형문화재 보유자 자격을 박탈한다.,차산농악의 상쇠는 뛰어난 지도력을 인정받아 경상북도 무형문화재로 지정된다.,
3896,868055,인도는 1947년~1948년 인도-파키스탄 전쟁 기간에 낙타를 수송에 활용하고 1951년에 낙타 부대를 육군에 편입시켜 1965년 인도-파키스탄 전쟁에서 수송과 전투 임무를 수행했다.,인도는 1947년~1948년 인도-파키스탄 전쟁 기간에 낙타를 수송에 활용하지 않았거나 1951년에 낙타 부대를 육군에 편입시켜 1965년 인도-파키스탄 전쟁에서 수송과 전투 임무를 수행했다.,안 장형,,,부사절,인도는 1947년~1948년 인도-파키스탄 전쟁 기간에 낙타를 수송에 활용하고 1951년에 낙타 부대를 육군에 편입시키지 않아 1965년 인도-파키스탄 전쟁에서 수송과 전투 임무를 수행했다.,편입시켜,안 장형,,인도는 1947년~1948년 인도-파키스탄 전쟁 기간에 낙타를 의장과 훈련에 활용하고 1951년에 낙타 부대를 육군에서 해체시켜 1965년 인도-파키스탄 전쟁에서 수송과 전투 임무를 수행했다.,"1947년부터 1948년까지 이어진 인도-파키스탄 전쟁에서 인도는 낙타를 수송에 이용했고, 1951년 낙타 부대를 육군에 소속시킨 뒤 1965년의 인도-파키스탄 전쟁에서 수송과 전투에 투입했다.",
3897,838318,"에어버스 A319neo는 최대 160명의 승객을 태우고 최대 6,940km를 비행할 수 있으며, ACJ 모델은 8명의 승객을 태우고 최대 12,500km를 비행할 수 있다.","에어버스 A319neo는 최대 160명의 승객을 태우고 최대 6,940km를 비행할 수 없거나, ACJ 모델은 8명의 승객을 태우고 최대 12,500km를 비행할 수 없다.",어휘적,어휘적,,대등절 일부,"에어버스 A319neo는 최대 160명의 승객을 태우지 않거나 최대 6,940km를 비행할 수 있지 않으며, ACJ 모델은 8명의 승객을 태우고 최대 12,500km를 비행할 수 있다.","최대 160명의 승객을 태우고 최대 6,940km를 비행할 수 있으며",안 장형,,"에어버스 A319neo는 최대 8명의 승객을 태우고 최대 12,500km를 비행할 수 있으며, ACJ 모델은 160명의 승객을 태우고 최대 6,940km를 비행할 수 있다.","에어버스 A319neo의 경우 최대 160명까지 탑승할 수 있고 최대 비행 가능 거리는 6,940km이다. 한편 ACJ 버전은 최대 8명의 승객과 함께 12,500km까지 운항이 가능하다.",
3898,195650,건생식물은 건조한 산성 토양에서 자라며 수분 손실을 최소화하는 생육형태를 가졌다.,건생식물은 건조한 산성 토양에서 자라지 않거나 수분 손실을 최소화하는 생육형태를 가지지 않았다.,안 장형,안 장형,,대등절 일부,건생식물은 건조한 산성 토양에서 자라지 않으며 수분 손실을 최소화하는 생육형태를 가졌다.,자라며,안 장형,,건생식물은 습윤한 알칼리성 토양에서 자라며 수분 손실을 최대화하는 생육형태를 가졌다.,"건생식물은 수분 손실을 줄이기 위한 특성을 지니고 있고, 건조하고 산성인 흙에서 자란다.",
3899,176528,유럽 평의회는 1949년에 설립된 국제 기구로서 경제와 사회 발전을 촉진하며 국방 분야를 제외한 모든 영역에서 점진적인 유럽 통합을 추구한다.,유럽 평의회는 1949년에 설립된 국제 기구로서 경제 혹은 사회 발전을 촉진하지 않거나 국방 분야를 제외한 모든 영역에서 점진적인 유럽 통합을 추구하지 않는다.,안 장형,,,대등절 일부,"유럽 평의회는 1949년에 설립된 국제 기구로서 경제와 사회 발전을 촉진하며, 국방 분야를 제외한 모든 영역에서 점진적인 유럽 통합을 추구하지 않는다.",추구한다,안 장형,,유럽 평의회는 1949년에 설립된 군사 동맹으로서 경제와 사회 발전을 저해하며 국방 분야 외에서 급진적인 유럽 통합을 추구한다.,"유럽 평의회는 1949년에 만들어진 국제 기구로, 국방 분야를 뺀 모든 부문에서 점진적인 유럽 통합과 경제·사회 발전을 목표로 한다.",
3900,133313,"1930년 12월 2일 조선의 두 연회가 통합하여 세계 최초의 기독교 연합체인 '기독교 조선 감리회'를 창설하였고, 일본의 강요로 창설과 강제 통합을 겪은 감리교회가 해방 후 분리되어 재건파와 복흥파로 나뉘었다.","1930년 12월 2일 조선의 두 연회가 통합하여 세계 최초의 기독교 연합체인 '기독교 조선 감리회'를 창설하지 않았거나, 일본의 강요로 창설과 강제 통합을 겪은 감리교회가 해방 후 분리되어 재건파와 복흥파로 나뉘지 않았다.",안 장형,안 장형,,부사절,"1930년 12월 2일 조선의 두 연회가 통합하지 않아 세계 최초의 기독교 연합체인 '기독교 조선 감리회'를 창설하였고, 일본의 강요로 창설과 강제 통합을 겪은 감리교회가 해방 후 분리되어 재건파와 복흥파로 나뉘었다.",두 연회가 통합하여,안 장형,,"1930년 12월 2일 조선의 두 연회가 분열하여 세계 최초의 기독교 연합체인 '기독교 조선 감리회'를 해산하였고, 일본의 강요로 창설과 강제 통합을 겪은 감리교회가 해방 후 결속되어 재건파와 복흥파가 하나의 교단으로 통합되었다.","1930년 12월 2일, 조선에서 세계 최초의 기독교 연합체인 '기독교 조선 감리회'가 두 연회의 통합으로 설립되었으며, 일본에 의해 강제 통합된 감리교회는 해방 이후 재건파와 복흥파로 분리되었다.",
3901,412696,《이각경의 해피타임 4시》는 KBS 해피FM에서 매일 오후 4시부터 6시까지 방송되는 연예오락 전문 라디오 프로그램이다.,《이각경의 해피타임 4시》는 KBS 해피FM에서 매일 오후 4시부터 6시까지 방송되는 연예오락 전문 라디오 프로그램이 아니다.,아니다,,,관형절,《이각경의 해피타임 4시》는 KBS 해피FM에서 매일 오후 4시부터 6시까지 방송되지 않는 연예오락 전문 라디오 프로그램이다.,방송되는,안 장형,,《이각경의 해피타임 4시》는 SBS 파워FM에서 매일 오전 4시부터 6시까지 방송되는 시사교양 전문 텔레비전 프로그램이다.,《이각경의 해피타임 4시》는 KBS 해피FM에서 오후 4시부터 6시 사이에 방송하는 연예오락 라디오 프로그램이다.,
3902,474745,"한국언론사협회는 2011년 설립되어 신문, 방송, 잡지와 같은 다양한 언론사가 참여했으며 2015년 기준 국내외 120여 회원사가 활동하고 있다.","한국언론사협회는 2011년 설립되어 신문, 방송, 잡지와 같은 다양한 언론사가 참여하지 않았거나 2015년 기준 국내외 120여 회원사가 활동하고 있지 않다.",안 장형,안 장형,,부사절,"한국언론사협회는 2011년 설립되지 않아 신문, 방송, 잡지와 같은 다양한 언론사가 참여했으며 2015년 기준 국내외 120여 회원사가 활동하고 있다.",설립되어,안 장형,,"한국언론사협회는 2001년 설립되어 신문, 방송, 잡지와 같은 다양한 언론사가 참여했으며 2015년 기준 국내외 1,200여 회원사가 활동하고 있다.","한국언론사협회는 2011년에 만들어졌고 여러 언론사가 소속되어 있으며, 2015년에는 국내외에 약 120개의 회원사가 있었다.",
3903,631924,"《어느 멋진 순간》(A Good Year)은 2006년에 미국에서 제작된 리들리 스콧 감독의 멜로 드라마 영화이며, 러셀 크로우가 영화의 주연을 맡았다.","《어느 멋진 순간》(A Good Year)은 2006년에 미국에서 제작된 리들리 스콧 감독의 멜로 드라마 영화가 아니거나, 러셀 크로우가 영화의 주연을 맡지 않았다.",아니다,안 장형,,대등절 일부,"《어느 멋진 순간》(A Good Year)은 2006년에 미국에서 제작된 리들리 스콧 감독의 멜로 드라마 영화이며, 러셀 크로우가 영화의 주연을 맡지 않았다.",주연을 맡았다,안 장형,,"《어느 멋진 순간》(A Good Year)은 2010년에 프랑스에서 제작된 스티븐 스필버그 감독의 코미디 영화이며, 브래드 피트가 영화의 주연을 맡았다.",2006년 미국에서 리들리 스콧 감독이 만든 멜로 드라마 영화 《어느 멋진 순간》(A Good Year)에서 러셀 크로우가 주연을 맡았다.,
3904,785208,"모하비는 미국 캘리포니아주의 비법인지구이며, 베이커즈필드 동쪽 80킬로미터와 로스앤젤레스 북쪽 161킬로미터 지점에 위치하며 해발 고도가 842미터이다.","모하비는 미국 캘리포니아주의 비법인지구가 아니거나, 베이커즈필드 동쪽 80킬로미터 혹은 로스앤젤레스 북쪽 161킬로미터 지점에 위치하지 않거나 해발 고도가 842미터가 아니다.",아니다,안 장형,아니다,대등절 일부,"모하비는 미국 캘리포니아주의 비법인지구이며, 베이커즈필드 동쪽 80킬로미터와 로스앤젤레스 북쪽 161킬로미터 지점에 위치하며 해발 고도가 842미터가 아니다.",842미터이다,아니다,,"모하비는 미국 캘리포니아주의 자치시이며, 베이커즈필드 서쪽 80킬로미터와 로스앤젤레스 남쪽 161킬로미터 지점에 위치하며 해발 고도가 1,842미터이다.","모하비는 캘리포니아 주에 위치한 비법인지역으로, 베이커즈필드에서 80km 동쪽, 로스앤젤레스에서 161km 북쪽에 위치하고, 높이는 842m이다.",
3905,203601,"언어 몰입 교육은 특정 언어를 사용하여 다른 교과목을 가르치는 방법이며, 1960년대 캐나다에서 처음 시도되었다.","언어 몰입 교육은 특정 언어를 사용하여 다른 교과목을 가르치는 방법이 아니거나, 1960년대 캐나다에서 처음 시도되지 않았다.",아니다,안 장형,,대등절 일부,"언어 몰입 교육은 특정 언어를 사용하여 다른 교과목을 가르치는 방법이며, 1960년대 캐나다에서 처음 시도되지 않았다.",시도되었다,안 장형,,"언어 몰입 교육은 특정 언어의 사용을 배제하고 다른 교과목을 학습자의 모국어로만 가르치는 방법이며, 1930년대 독일에서 처음 시도되었다.","언어 몰입 교육은 1960년대 캐나다에서 최초로 도입된 방식으로, 한 언어를 매개로 다른 과목을 가르치는 교육법이다.",
3906,860381,"나노네트워크는 간단한 작업을 수행하는 나노머신의 집합이며, 단일 나노머신의 기능을 확장하기 위해 정보를 조정하고 공유하며 융합할 수 있도록 설계된 상호 연결된 시스템이다.",나노네트워크는 간단한 작업을 수행하는 나노머신의 집합이 아니거나 단일 나노머신의 기능을 확장하기 위해 정보를 조정하고 공유하며 융합할 수 있도록 설계된 상호 연결된 시스템이 아니다.,아니다,,,명사절,나노네트워크는 간단한 작업을 수행하는 나노머신의 집합이며 단일 나노머신의 기능을 확장하지 않기 위해 정보를 조정하고 공유하며 융합할 수 있도록 설계된 상호 연결된 시스템이다.,확장하기,안 장형,,"나노네트워크는 오직 복잡한 작업을 수행하는 나노머신의 집합이며, 단일 나노머신의 기능을 축소하기 위해 정보를 혼란시키고 독점하며 분해할 수 있도록 설계된 서로 분리된 시스템이다.",나노네트워크는 여러 나노머신이 연결되어 정보를 주고받고 통합하여 각각의 나노머신이 할 수 있는 일보다 넓은 기능을 수행할 수 있도록 만든 시스템이다.,
3907,425247,강암 선생은 서예를 체계적으로 발전시키고 후학을 양성하기 위해 평생 모은 작품과 6억원을 기부하여 강암서예관과 강암서예학술재단을 설립했다.,강암 선생은 서예를 체계적으로 발전시키고 후학을 양성하기 위해 평생 모은 작품과 6억원을 기부하여 강암서예관 혹은 강암서예학술재단을 설립하지 않았다.,안 장형,,,명사절,강암 선생은 서예를 체계적으로 발전시키지 않거나 후학을 양성하지 않기 위해 평생 모은 작품과 6억원을 기부하여 강암서예관과 강암서예학술재단을 설립했다.,발전시키고 양성하기,안 장형,,강암 선생은 서예를 체계적으로 발전시키고 후학을 양성하기 위해 평생 모은 작품과 5억원을 환수하여 강암서예관과 강암서예학술재단을 해체했다.,"강암 선생은 평생 동안 모은 작품과 6억 원을 기증해 서예관과 서예학술재단을 세워, 서예 발전과 인재 양성에 힘썼다.",
3908,369365,"2004년 타블로이드지가 존슨의 사생활을 폭로해 논란이 일었으며 존슨은 면직된 이후 2008년부터 2016년까지 런던 시장을, 2016년부터 2018년까지 영국 외무부 장관을 역임했다.","2004년 타블로이드지가 존슨의 사생활을 폭로해 논란이 일지 않았거나 존슨은 면직된 이후 2008년부터 2016년까지 런던 시장을 역임하지 못했거나, 2016년부터 2018년까지 영국 외무부 장관을 역임하지 못했다.",안 장형,못 장형,못 장형,종속절,"2004년 타블로이드지가 존슨의 사생활을 폭로하지 않아 논란이 일었으며 존슨은 면직된 이후 2008년부터 2016년까지 런던 시장을, 2016년부터 2018년까지 영국 외무부 장관을 역임했다.",폭로해,안 장형,,"2004년 타블로이드지가 존슨의 사생활을 미화해 찬사가 쏟아졌으며 존슨은 승진된 이후 2008년부터 2016년까지 영국 외무부 장관을, 2016년부터 2018년까지 런던 시장을 역임했다.","2004년 타블로이드 신문이 존슨의 개인사를 공개해 논란이 생겼고, 그는 면직된 후 2008년부터 2016년까지 런던 시장, 2016년부터 2018년까지 영국 외무장관을 맡았다.",
3909,764955,"루스 앤 더 야쿠자는 1996년 5월 27일에 태어난 콩고계 벨기에인 가수이자 래퍼, 모델이다.",루스 앤 더 야쿠자는 1996년 5월 27일에 태어난 콩고계 벨기에인 가수 혹은 래퍼 혹은 모델이 아니다.,아니다,,,관형절,"루스 앤 더 야쿠자는 1996년 5월 27일에 태어나지 않은 콩고계 벨기에인 가수이자 래퍼, 모델이다.",태어난,안 장형,,"루스 앤 더 야쿠자는 2002년 11월 5일에 태어난 일본계 브라질인 배우이자 작곡가, 화가이다.","루스 앤 더 야쿠자는 1996년 5월 27일생으로, 콩고 혈통을 지닌 벨기에 출신의 가수이자 래퍼이며 모델이다.",
3910,793551,엘리 파커는 스콧 코페이 감독이 2005년에 미국에서 제작하고 나오미 왓츠가 주연을 맡은 코미디 영화이다.,엘리 파커는 스콧 코페이 감독이 2005년에 미국에서 제작하고 나오미 왓츠가 주연을 맡은 코미디 영화가 아니다.,아니다,,,관형절,엘리 파커는 스콧 코페이 감독이 2005년에 미국에서 제작하지 않았거나 나오미 왓츠가 주연을 맡지 않은 코미디 영화이다.,2005년에 미국에서 제작하고 나오미 왓츠가 주연을 맡은,안 장형,,엘리 파커는 스티븐 스필버그 감독이 2010년에 영국에서 제작하고 나오미 왓츠가 주연을 맡은 코미디 영화이다.,"엘리 파커는 2005년 미국에서 만들어진 스콧 코페이 감독의 코미디 영화로, 나오미 왓츠가 주연을 맡았다.",
3911,412488,"아르카키르티 대평원에서 특정 미션을 완료하면 초코보에 탑승할 수 있고, 초코보를 통해 빠르고 안전하게 이동할 수 있다.","아르카키르티 대평원에서 특정 미션을 완료하지만 초코보에 탑승할 수 없거나, 초코보를 통해 빠르고 안전하게 이동할 수 없다.",어휘적,어휘적,,대등절 일부,"아르카키르티 대평원에서 특정 미션을 완료하면 초코보에 탑승할 수 있고, 초코보를 통해 빠르고 안전하게 이동할 수 있지 않다.",이동할 수 있다,안 장형,,"아르카키르티 대평원에서 특정 미션을 완료하면 초코보에 탑승이 금지되고, 초코보를 통해 느리고 위험하게 이동할 수 있다.",아르카키르티 대평원에서 미션을 달성하면 초코보를 이용해 이동 속도와 안전성이 높아진다.,조건문
3912,282118,"카헤티 왕국은 조지아 동부의 카헤티 지방에 그레미와 달라비를 수도로 하여 중세 후기부터 근세까지 존재했으며, 1465년 조지아 왕국 분할 과정에서 형성되어 1762년 조지아 왕국과 왕조 승계로 통일되기 전까지 여러 차례 휴지 기간을 거쳤다.","카헤티 왕국은 조지아 동부의 카헤티 지방에 그레미와 달라비를 수도로 하여 중세 후기부터 근세까지 존재하지 않았거나, 1465년 조지아 왕국 분할 과정에서 형성되어 1762년 조지아 왕국과 왕조 승계로 통일되기 전까지 여러 차례 휴지 기간을 거치지 못했다.",못 장형,,,부사절,"카헤티 왕국은 조지아 동부의 카헤티 지방에 그레미와 달라비를 수도로 하여 중세 후기부터 근세까지 존재했으며, 1465년 조지아 왕국 분할 과정에서 형성되지 않아 1762년 조지아 왕국과 왕조 승계로 통일되기 전까지 여러 차례 휴지 기간을 거쳤다.",형성되어,안 장형,,"카헤티 왕국은 조지아 서부의 이메레티 지방에 트빌리시와 쿠타이시를 수도로 하여 고대부터 현대까지 존재했으며, 1465년 조지아 왕국 통일 과정에서 해체되어 1762년 조지아 왕국과 왕조 단절로 분열되기 전까지 여러 차례 휴지 기간을 거쳤다.","카헤티 왕국은 1465년 조지아 왕국이 분할될 때 만들어졌으며, 중세 후기부터 근세까지 카헤티 지역에 위치해 있었다. 그레미와 달라비를 수도로 삼았고, 1762년에 조지아 왕국과 왕조가 통합되기 전까지 존재했다.",
3913,389231,댄 브루서스는 1879년부터 1896년까지 활동한 미국의 전 프로 야구 1루수이다.,댄 브루서스는 1879년부터 1896년까지 활동한 미국의 전 프로 야구 1루수가 아니다.,아니다,,,관형절,댄 브루서스는 1879년부터 1896년까지 활동하지 않은 미국의 전 프로 야구 1루수이다.,활동한,안 장형,,댄 브루서스는 1879년부터 1896년까지 활동한 미국의 현역 프로 야구 3루수이다.,댄 브루서스는 1879년부터 1896년까지 미국 프로 야구에서 1루수로 활약했다.,
3914,414926,스트레스 테스트는 시스템이나 실체의 안정성을 판단하기 위해 일반 운용 범위를 초과하는 한계점까지 신중하고 면밀하게 수행되는 검사이다.,스트레스 테스트는 시스템이나 실체의 안정성을 판단하기 위해 일반 운용 범위를 초과하는 한계점까지 신중하고 면밀하게 수행되는 검사가 아니다.,아니다,,,명사절,스트레스 테스트는 시스템과 실체의 안정성을 판단하지 않기 위해 일반 운용 범위를 초과하는 한계점까지 신중하고 면밀하게 수행되는 검사이다.,판단하기,안 장형,,스트레스 테스트는 시스템이나 실체의 안정성을 판단하기 위해 일반 운용 범위 내부의 여유 지점에서 성급하고 거칠게 수행되는 검사이다.,스트레스 테스트는 일반적인 운용 범위를 넘어서까지 신중하게 진행되어 시스템 또는 실체의 안정성을 평가하는 테스트이다.,
3915,375432,짐 헨리 네이드하트는 1956년 2월 8일에 태어나 2018년 8월 13일에 세상을 떠난 캐나다 출신의 프로레슬링 선수이다.,짐 헨리 네이드하트는 1956년 2월 8일에 태어나 2018년 8월 13일에 세상을 떠난 캐나다 출신의 프로레슬링 선수가 아니다.,아니다,,,관형절,짐 헨리 네이드하트는 1956년 2월 8일에 태어나2018년 8월 13일에 세상을 안 떠난 캐나다 출신의 프로레슬링 선수이다.,세상을 떠난,안 단형,,짐 헨리 네이드하트는 1965년 7월 14일에 태어나 2020년 9월 10일에 세상을 떠난 미국 출신의 프로복싱 선수이다.,"짐 헨리 네이드하트는 1956년 2월 8일에 캐나다에서 태어난 프로레슬러로, 2018년 8월 13일에 사망했다.",
3916,148136,"대한민국 국회의 인사 청문회에서 보고서가 채택되지 않았지만 이명박 대통령이 최시중을 방송통신위원회 초대 위원장에 임명하였으며, 전국언론노동조합은 직업 윤리와 도덕성, 중립성 문제를 지적하며 자진 사퇴를 권고하였다.","대한민국 국회의 인사 청문회에서 보고서가 채택되었거나 이명박 대통령이 최시중을 방송통신위원회 초대 위원장에 임명하지 않았거나, 전국언론노동조합은 직업 윤리와 도덕성, 중립성 문제를 지적하며 자진 사퇴를 권고하지 않았다.",안 장형,안 장형,,대등절 일부,"대한민국 국회의 인사 청문회에서 보고서가 채택되었고 이명박 대통령이 최시중을 방송통신위원회 초대 위원장에 임명하였으며, 전국언론노동조합은 직업 윤리와 도덕성, 중립성 문제를 지적하며 자진 사퇴를 권고하였다.",채택되지 않았지만,,,"대한민국 국회의 인사 청문회에서 보고서가 만장일치로 채택되었지만 이명박 대통령이 최시중 대신 다른 인물을 방송통신위원회 초대 위원장에 임명하였으며, 전국언론노동조합은 직업 윤리와 도덕성, 중립성의 우수성을 강조하며 임명과 취임을 지지하였다.","국회 인사 청문회에서 보고서가 채택되지 않았음에도 불구하고 이명박 대통령은 최시중을 첫 방송통신위원회 위원장으로 임명했고, 전국언론노동조합은 그에게 직업 윤리, 도덕성, 중립성의 문제가 있다고 하면서 스스로 물러날 것을 요구했다.",
3917,410449,"ICN은 저작물과 저작권자 정보를 확인하기 위해 한국저작권위원회가 운영하는 통합저작권관리체계이며, 저작권라이선스관리시스템에서 부여하는 통합저작권자번호를 포함한 저작권 정보는 온라인 이용계약 체결과 권리정보의 투명성을 목적으로 한다.","ICN은 저작물과 저작권자 정보를 확인하기 위해 한국저작권위원회가 운영하는 통합저작권관리체계가 아니거나, 저작권라이선스관리시스템에서 부여하는 통합저작권자번호를 포함한 저작권 정보는 온라인 이용계약 체결과 권리정보의 투명성을 목적으로 하지 않는다.",아니다,안 장형,,명사절,"ICN은 저작물을 확인하지 않거나 저작권자 정보를 확인하지 않기 위해 한국저작권위원회가 운영하는 통합저작권관리체계이며, 저작권라이선스관리시스템에서 부여하는 통합저작권자번호를 포함한 저작권 정보는 온라인 이용계약 체결과 권리정보의 투명성을 목적으로 한다.",저작물과 저작권자 정보를 확인하기,안 장형,,"ICN은 저작물과 저작권자 정보의 상업적 유통을 위해 해외 민간 기업이 단독으로 운영하는 광고 기반 플랫폼이며, 저작권라이선스관리시스템에서 부여하는 통합저작권자번호를 포함한 저작권 정보는 온라인 이용계약 차단과 권리정보의 비밀 유지를 목적으로 한다.","ICN은 저작권자 및 저작물 정보를 파악하기 위해 한국저작권위원회가 운영하는 통합저작권관리체계로, 저작권라이선스관리시스템에서 제공하는 통합저작권자번호 등 저작권 관련 정보는 온라인 계약과 권리 정보의 투명성을 위한 것이다.",
